source target weight
"black heart" cloud 2
"black heart" "cloud with rain" 1
"black heart" "cloud with snow" 1
"black heart" "confused face" 1
"black heart" "crescent moon" 1
"black heart" "crossed fingers medium skin tone" 1
"black heart" "crossed swords" 1
"black heart" crown 1
"black heart" "crystal ball" 2
"black heart" cucumber 1
"black heart" "dog face" 1
"black heart" dove 1
"black heart" eggplant 1
"black heart" eyes 1
"black heart" "face with steam from nose" 1
"black heart" fire 6
"black heart" "folded hands" 3
"black heart" "four leaf clover" 6
"black heart" "full moon" 1
"black heart" goat 1
"black heart" "green heart" 15
"black heart" "grinning squinting face" 1
"black heart" "growing heart" 1
"black heart" "heart suit" 3
"black heart" "heart with arrow" 1
"black heart" "heart with ribbon" 1
"black heart" "heavy heart exclamation" 1
"black heart" honeybee 3
"black heart" "hundred points" 3
"black heart" jack-o-lantern 1
"black heart" "kiss mark" 4
"black heart" "kissing cat face" 1
"black heart" "kitchen knife" 2
"black heart" "leaf fluttering in wind" 1
"black heart" "loudly crying face" 1
"black heart" "love-you gesture light skin tone" 1
"black heart" "man artist dark skin tone" 1
"black heart" "man in suit levitating medium-dark skin tone" 1
"black heart" "maple leaf" 1
"black heart" "musical notes" 2
"black heart" ogre 1
"black heart" "optical disk" 1
"black heart" "orange heart" 6
"black heart" owl 1
"black heart" paintbrush 1
"black heart" "party popper" 3
"black heart" "paw prints" 1
"black heart" "pleading face" 2
"black heart" "purple heart" 28
"black heart" "raising hands" 1
"black heart" "raising hands light skin tone" 1
"black heart" "red heart" 59
"black heart" "regional indicator symbol letter r" 1
"black heart" "revolving hearts" 2
"black heart" ribbon 1
"black heart" "rolling on the floor laughing" 1
"black heart" rose 2
"black heart" "round pushpin" 1
"black heart" scotland 1
"black heart" "see-no-evil monkey" 1
"black heart" seedling 1
"black heart" "sign of the horns" 2
"black heart" "sign of the horns light skin tone" 3
"black heart" skull 4
"black heart" "sleepy face" 1
"black heart" "smiling face with 3 hearts" 3
"black heart" "smiling face with heart-eyes" 3
"black heart" "smiling face with horns" 1
"black heart" "smiling face with smiling eyes" 1
"black heart" "smiling face with sunglasses" 1
